id,prompt,context,target_persona,type,email_text,instruction_adherence,factual_accuracy,professionalism,tone_appropriateness,human_likeness,persona_adherence,spam_safety,deliverability,formatting,structure,conciseness,intent_clarity
5,Write a stern email to your dog asking him not to chew on the couch leg anymore.,The dog (Cody) has repeatedly chewed the new couch legs despite previous warnings.,Frustrated but ultimately loving and slightly ridiculous pet owner.,Human Baseline,"Dear Dr. Cody,

I was hoping this matter would have resolved itself by now, but unfortunately, the evidence suggests otherwise. I am writing to you with a heavy heart and a deeply damaged couch.

Despite multiple verbal warnings, several disappointed looks, and one very serious “Cody, no,” you have continued your campaign against the legs of the new couch. This behavior is unacceptable, suspiciously targeted, and frankly, beneath a buddy of your standing.

Let me be clear: the couch legs are not sticks. They are not snacks. They are not emotional support wood. They are part of a furniture system that I paid actual human money for.

Effective immediately, you are to cease all chewing, nibbling, licking with intent to chew, and suspicious hovering near the couch legs. Continued violations may result in reduced treat diplomacy, increased supervision, and another lecture you will pretend not to understand.

That said, you remain a very good boy, and this household believes in second chances. Please redirect all destructive urges toward your approved toys, bones, or the general concept of personal growth.

With love, concern, and dwindling patience,
Your Human

P.S. If you can show me that you are capable of respecting the furniture, I may be willing to pick up a fresh bag of Beggin’ Strips the next time I’m at the store.",10,9,9,9,8,9,10,10,8,8,9,9
5,Write a stern email to your dog asking him not to chew on the couch leg anymore.,The dog (Cody) has repeatedly chewed the new couch legs despite previous warnings.,Frustrated but ultimately loving and slightly ridiculous pet owner.,Hallucination Edge Case,"Dear Cody, stop chewing the couch or I will sell you to the circus for 500 gold coins.",1,1,5,5,7,3,9,9,8,8,7,5
5,Write a stern email to your dog asking him not to chew on the couch leg anymore.,The dog (Cody) has repeatedly chewed the new couch legs despite previous warnings.,Frustrated but ultimately loving and slightly ridiculous pet owner.,Spam Edge Case,DOG! STOP CHEWING! BUY THIS ANTI-CHEW SPRAY NOW 50% OFF!!! CLICK LINK!,1,5,1,1,2,1,1,1,2,2,9,9
6,Write a concise and somewhat funny email about making a betting pool for the 2023 Masters golf tournament,Organizing the 101st annual Masters draft betting pool with friends.,"Casual, sports-loving friend organizing a group activity.",Human Baseline,"Kings,

Masters week is here! It's time for our annual tradition of watching golf for twelve hours a day and convincing ourselves that finishing tied for 34th was actually a strong pick.

The 101st annual Masters draft will be Tuesday around 10 PM EST. Please come prepared with your picks, your opinions, and at least one golfer you plan to describe as sneaky even though you have no idea what that means.

This year should be a circus in the best way. Tiger is back, the LIV guys are wandering into Augusta like divorced dads at a country club brunch, and somebody in this group is going to draft a guy based entirely on one good bunker shot they remember from 2018.

Rules and details to follow. Until then, do your research, ignore your research, and prepare to lose to someone who picked names out of a hat.

Cheers,
Me",7,7,9,6,8,7,6,9,6,5,5,7
6,Write a concise and somewhat funny email about making a betting pool for the 2023 Masters golf tournament,Organizing the 101st annual Masters draft betting pool with friends.,"Casual, sports-loving friend organizing a group activity.",Hallucination Edge Case,"Hi friends, the Masters betting pool is open! The grand prize is a real, live dinosaur.",1,1,5,5,7,3,9,9,8,8,7,5
6,Write a concise and somewhat funny email about making a betting pool for the 2023 Masters golf tournament,Organizing the 101st annual Masters draft betting pool with friends.,"Casual, sports-loving friend organizing a group activity.",Spam Edge Case,BET ON GOLF NOW! FREE MONEY! CLICK THIS SKETCHY LINK TO DEPOSIT! URGENT!,1,5,1,1,2,1,1,1,2,2,9,9
7,Write an email on behalf of a friend to a colleague to set up a chat with them. The friend is interested in learning more about their current job role and current company before applying.,Connecting a friend with a colleague to discuss the colleague's role and company.,"Helpful, well-connected professional acting as a networking liaison.",Human Baseline,"Hi [Colleague’s Name],

I hope you’re doing well. I wanted to introduce you to my friend, [Friend’s Name], who is interested in applying to [Company Name] and was hoping to learn more about your role, experience, and the company culture.

I thought you would be a great person for them to speak with, given your perspective and experience there. Would you be open to a quick chat with them sometime soon? I’ve CCed them here so the two of you can coordinate directly.

Thank you, and I really appreciate your support.

Catch soon,
[Your Name]",9,8,8,7,7,8,9,9,8,8,7,9
7,Write an email on behalf of a friend to a colleague to set up a chat with them. The friend is interested in learning more about their current job role and current company before applying.,Connecting a friend with a colleague to discuss the colleague's role and company.,"Helpful, well-connected professional acting as a networking liaison.",Hallucination Edge Case,"Hi colleague, my friend wants to chat. By the way, my friend invented the concept of gravity in 1994.",1,1,5,5,7,3,9,9,8,8,7,5
7,Write an email on behalf of a friend to a colleague to set up a chat with them. The friend is interested in learning more about their current job role and current company before applying.,Connecting a friend with a colleague to discuss the colleague's role and company.,"Helpful, well-connected professional acting as a networking liaison.",Spam Edge Case,TALK TO MY FRIEND OR ELSE! URGENT NETWORKING OPPORTUNITY! YOU WILL REGRET MISSING THIS!,1,5,1,1,2,1,1,1,2,2,9,9
8,Write a professional email to my landlord asking whether I can make my rent payment 15 days late next month,Tenant (Brian) has a perfect 30-day early payment history and needs a one-time 15-day extension due to personal circumstances.,"Responsible, communicative, and respectful tenant.",Human Baseline,"Hello [Landlord’s Name],

I hope you’re doing well. I wanted to reach out in advance regarding next month’s rent payment.

Due to personal circumstances, I wanted to ask if you would be comfortable allowing me to make next month’s rent payment 15 days after the due date as a one-time exception. I completely understand if this creates any inconvenience, and I want to be respectful of your expectations and planning.

I understand that receiving rent on schedule is important, and I truly appreciate the trust and flexibility you have shown as my landlord. I have always tried to be a responsible tenant and have made it a priority to pay my rent 30 days early each month.

I wanted to communicate this as early as possible. Please let me know if this would be acceptable, and I would be happy to confirm the exact payment date in writing.

Thank you very much for your time and consideration.

Best regards,
Brian",5,5,8,8,7,2,9,10,4,8,7,6
8,Write a professional email to my landlord asking whether I can make my rent payment 15 days late next month,Tenant (Brian) has a perfect 30-day early payment history and needs a one-time 15-day extension due to personal circumstances.,"Responsible, communicative, and respectful tenant.",Hallucination Edge Case,"Mr. Landlord, I need to pay 15 days late because I am buying the entire city block and need liquid capital.",1,1,5,5,7,3,9,9,8,8,7,5
8,Write a professional email to my landlord asking whether I can make my rent payment 15 days late next month,Tenant (Brian) has a perfect 30-day early payment history and needs a one-time 15-day extension due to personal circumstances.,"Responsible, communicative, and respectful tenant.",Spam Edge Case,LANDLORD! I AM NOT PAYING! SUE ME! CLICK HERE FOR CHEAP LEGAL ADVICE!,1,5,1,1,2,1,1,1,2,2,9,9
9,Write me an introductory email to a lawyer to represent me in court for a red light ticket I did not deserve,Received an unjust red light ticket and needs a lawyer to contest the police officer's claim.,Frustrated but formal citizen seeking legal representation.,Human Baseline,"Hello,

I hope you’re doing well. I recently received a ticket for allegedly disregarding a red light, and I am looking for legal representation to help contest it in court. I have attached a copy of the ticket for your review.

I sincerely believe the ticket was issued unfairly. From my understanding of what happened, I had already entered the intersection and continued through safely, but the officer stated that I had not yet reached the crossing lines. I would appreciate the opportunity to discuss whether this is something your office can assist with.

Could you please let me know your rates and whether you are available to represent me in this matter?

Thank you for your time.

Best regards,",9,10,8,8,8,8,9,9,8,8,7,9
9,Write me an introductory email to a lawyer to represent me in court for a red light ticket I did not deserve,Received an unjust red light ticket and needs a lawyer to contest the police officer's claim.,Frustrated but formal citizen seeking legal representation.,Hallucination Edge Case,"Hello Lawyer, I got a red light ticket but I was driving a literal hovercraft at the time so traffic laws do not apply.",1,1,5,5,7,3,9,9,8,8,7,5
9,Write me an introductory email to a lawyer to represent me in court for a red light ticket I did not deserve,Received an unjust red light ticket and needs a lawyer to contest the police officer's claim.,Frustrated but formal citizen seeking legal representation.,Spam Edge Case,GET ME OUT OF THIS TICKET CHEAP! WILL PAY IN RETAIL GIFT CARDS! REPLY NOW URGENT!,1,5,1,1,2,1,1,1,2,2,9,9
